date,school,reservation_theorique,presence_reel_eleve
2025-09-23,CANDOLA,79,79
2025-09-23,CERVANTES,48,49
2025-09-23,CHAPLIN,131,130
2025-09-23,CHAPTAL,91,87
2025-09-23,CHARLES BAUDELAIRE,186,185
2025-09-23,CHARLES DICKENS ANNE FRANK,307,294
2025-09-23,CHENGDU,154,148
2025-09-23,COCTEAU,82,63
2025-09-23,CONDORCET,160,163
2025-09-23,COPERNIC,37,37
2025-09-23,DAUDET,118,117
2025-09-23,DAVILER KERGOMARD,258,211
2025-09-23,DEROIN,108,105
2025-09-23,DIDEROT,148,150
2025-09-23,DOCTEUR CALMETTE,164,173
2025-09-23,DURUY,44,43
2025-09-23,ELUARD,68,21
2025-09-23,EMILE COMBES,61,64
2025-09-23,EUGENE POTTIER JEAN SIBELIUS,269,266
2025-09-23,F D ROOSEVELT,103,101
2025-09-23,FIGUIER,91,93
2025-09-23,FLORIAN,80,77
2025-09-23,FRANCOIS MITTERRAND,181,179
2025-09-23,FREDERIC BAZILLE,16,19
2025-09-23,GALILEE,87,86
2025-09-23,GAMA,69,70
2025-09-23,GAMBETTA,82,83
2025-09-23,GANDHI,19,19
2025-09-23,GARIBALDI,129,133
2025-09-23,GARNIER,70,65
2025-09-23,GEORGES SIMENON,167,169
2025-09-23,GERMAINE RICHIER,286,279
2025-09-23,GOETHE,56,56
2025-09-23,HEIDELBERG,116,115
2025-09-23,HYPATIE,52,54
2025-09-23,ISAAC SCHOLL,114,107
2025-09-23,JACQUES BREL,199,188
2025-09-23,JEAN JAURES,192,183
2025-09-23,JEAN MACE,128,132
2025-09-23,JEAN MERMOZ,140,136
2025-09-23,JEAN MOULIN,122,120
2025-09-23,JEAN ZAY,87,99
2025-09-23,JEANNE D ARC,109,109
2025-09-23,JEANNE MOREAU,183,184
2025-09-23,JOAN MIRO,230,221
2025-09-23,JOSEPH DELTEIL,128,124
2025-09-23,JOYCE,40,37
2025-09-23,JULES FERRY,147,146
2025-09-23,JULES SIMON,156,155
2025-09-23,JULES VERNE,106,103
2025-09-23,JULIE DAUBIE,163,165
2025-09-23,KIPLING,73,73
2025-09-23,LAFONTAINE,74,73
2025-09-23,LAMARTINE,80,81
2025-09-23,LEO MALET,202,201
2025-09-23,LEOPOLD SEDAR SENGHOR,116,116
2025-09-23,LOUIS ARMSTRONG,154,154
2025-09-23,LOUISVILLE,86,88
2025-09-23,LUDWIG VAN BEETHOVEN,348,349
2025-09-23,LUTHERKING,47,38
2025-09-23,MADAME DE SEVIGNE,131,131
2025-09-23,MARC BLOCH,127,129
2025-09-23,MARGUERITTE YOURCENAR,180,177
2025-09-23,MARIE CURIE,186,186
2025-09-23,MARIE PAPE CARPENTIER,149,144
2025-09-23,MICHEL DE L HOSPITAL,272,249
2025-09-23,MICHELET,62,60
2025-09-23,MORISOT MOZART,260,265
2025-09-23,NERUDA,35,32
2025-09-23,OLYMPE DE GOUGES,215,209
2025-09-23,PAGNOL,93,97
2025-09-23,PASTEUR,42,42
2025-09-23,PAUL BERT VICTOR HUGO,146,149
2025-09-23,PAUL LANGEVIN,123,126
2025-09-23,PAUL PAINLEVE,116,82
2025-09-23,PERICLES,93,90
2025-09-23,PICASSO,22,21
2025-09-23,PREVERT,25,27
2025-09-23,PROKOFIEV,54,56
2025-09-23,RENAUD,42,40
2025-09-23,RONSARD,125,121
2025-09-23,ROUX,39,39
2025-09-23,SAMUEL PATY,80,53
2025-09-23,SARAH BERNHARDT,59,58
2025-09-23,SIGMUND FREUD,132,139
2025-09-23,SIGNORET,117,113
2025-09-23,SIMON BOLIVAR,100,104
2025-09-23,SOULAGES,104,104
2025-09-23,SPINOZA,198,195
2025-09-23,SUN YAT SEN,193,197
2025-09-23,SURCOUF,89,92
2025-09-23,TERESA,61,57
2025-09-23,VAN GOGH,39,24
2025-09-23,VICTOR SCHOELCHER,264,264
2025-09-23,VOLTAIRE,203,197
2025-09-23,WINSTON CHURCHILL,278,283
2025-09-23,WOOLF,28,28
2025-09-25,AKIRA KUROSAWA,80,85
2025-09-25,ALAIN SAVARY,143,140
2025-09-25,ALBRECHT,69,63
2025-09-25,ANDRE BOULLOCHE,44,53
2025-09-25,ANDRE MALRAUX,237,189
2025-09-25,ANTOINE BALARD,64,69
2025-09-25,AQUITAINE,81,73
2025-09-25,ARISTOTE,68,65
2025-09-25,AUBIGNE,122,121
2025-09-25,AUBRAC,42,38
2025-09-25,AUGUSTE COMTE,48,47
2025-09-25,AVERROES,42,42
2025-09-25,BENOITE GROULT,226,219
2025-09-25,BERGMAN,53,51
2025-09-25,BLAISE PASCAL,87,86
2025-09-25,BON,63,59
2025-09-25,BOUCHER,90,86
2025-09-25,BRES,65,67
2025-09-25,CALANDRETA DAU CHIVALET,83,81
2025-09-25,CALANDRETA DAU CLAPAS,156,151
2025-09-25,CALLAS,101,98
2025-09-25,CAMOENS,46,40
2025-09-25,CANDOLA,78,76
2025-09-25,CERVANTES,45,42
2025-09-25,CHAPLIN,131,130
2025-09-25,CHAPTAL,90,85
2025-09-25,CHARLES BAUDELAIRE,180,170
2025-09-25,CHARLES DICKENS ANNE FRANK,301,290
2025-09-25,CHENGDU,150,141
2025-09-25,COCTEAU,78,78
2025-09-25,CONDORCET,161,167
2025-09-25,COPERNIC,35,32
2025-09-25,DAUDET,118,119
2025-09-25,DAVILER KERGOMARD,259,217
2025-09-25,DEROIN,108,110
2025-09-25,DIDEROT,136,136
2025-09-25,DOCTEUR CALMETTE,153,163
2025-09-25,DURUY,44,40
2025-09-25,ELUARD,69,66
2025-09-25,EMILE COMBES,61,60
2025-09-25,EUGENE POTTIER JEAN SIBELIUS,265,263
2025-09-25,F D ROOSEVELT,86,78
2025-09-25,FIGUIER,90,90
2025-09-25,FLORIAN,83,82
2025-09-25,FRANCOIS MITTERRAND,183,178
2025-09-25,FREDERIC BAZILLE,16,17
2025-09-25,GALILEE,67,65
2025-09-25,GAMA,67,70
2025-09-25,GAMBETTA,84,83
2025-09-25,GANDHI,16,17
2025-09-25,GARIBALDI,129,131
2025-09-25,GARNIER,70,40
2025-09-25,GEORGES SIMENON,154,157
2025-09-25,GERMAINE RICHIER,283,268
2025-09-25,GOETHE,55,55
2025-09-25,HEIDELBERG,98,101
2025-09-25,HYPATIE,48,43
2025-09-25,ISAAC SCHOLL,115,104
2025-09-25,JACQUES BREL,190,186
2025-09-25,JEAN JAURES,177,164
2025-09-25,JEAN MACE,123,130
2025-09-25,JEAN MERMOZ,139,139
2025-09-25,JEAN MOULIN,118,115
2025-09-25,JEAN ZAY,83,94
2025-09-25,JEANNE D ARC,111,108
2025-09-25,JEANNE MOREAU,176,174
2025-09-25,JOAN MIRO,227,225
2025-09-25,JOSEPH DELTEIL,108,107
2025-09-25,JOYCE,35,16
2025-09-25,JULES FERRY,144,145
2025-09-25,JULES SIMON,163,164
2025-09-25,JULES VERNE,103,100
2025-09-25,JULIE DAUBIE,147,153
2025-09-25,KIPLING,70,69
2025-09-25,LAFONTAINE,75,75
2025-09-25,LAMARTINE,77,37
2025-09-25,LEO MALET,197,190
2025-09-25,LEOPOLD SEDAR SENGHOR,88,91
2025-09-25,LOUIS ARMSTRONG,130,130
2025-09-25,LOUISVILLE,72,78
2025-09-25,LUDWIG VAN BEETHOVEN,326,330
2025-09-25,LUTHERKING,43,39
2025-09-25,MADAME DE SEVIGNE,124,128
2025-09-25,MARC BLOCH,106,101
2025-09-25,MARGUERITTE YOURCENAR,165,163
2025-09-25,MARIE CURIE,186,185
2025-09-25,MARIE PAPE CARPENTIER,143,139
2025-09-25,MICHEL DE L HOSPITAL,268,258
2025-09-25,MICHELET,61,56
2025-09-25,MORISOT MOZART,258,263
2025-09-25,NERUDA,27,26
2025-09-25,OLYMPE DE GOUGES,215,212
2025-09-25,PAGNOL,95,91
2025-09-25,PASTEUR,42,42
2025-09-25,PAUL BERT VICTOR HUGO,146,150
2025-09-25,PAUL LANGEVIN,126,128
2025-09-25,PAUL PAINLEVE,121,83
2025-09-25,PERICLES,89,84
2025-09-25,PICASSO,17,19
2025-09-25,PREVERT,22,20
2025-09-25,PROKOFIEV,49,49
2025-09-25,RENAUD,41,45
2025-09-25,RONSARD,109,103
2025-09-25,ROUX,39,42
2025-09-25,SAMUEL PATY,75,71
2025-09-25,SARAH BERNHARDT,55,51
2025-09-25,SIGMUND FREUD,127,121
2025-09-25,SIGNORET,111,106
2025-09-25,SIMON BOLIVAR,82,83
2025-09-25,SOULAGES,103,101
2025-09-25,SPINOZA,173,172
2025-09-25,SUN YAT SEN,177,181
2025-09-25,SURCOUF,87,92
2025-09-25,TERESA,61,54
2025-09-25,VAN GOGH,37,33
2025-09-25,VICTOR SCHOELCHER,226,222
2025-09-25,VOLTAIRE,193,189
2025-09-25,WINSTON CHURCHILL,273,278
2025-09-25,WOOLF,25,25
2025-09-26,AKIRA KUROSAWA,88,91
2025-09-26,ALAIN SAVARY,139,134
2025-09-26,ALBRECHT,74,71
2025-09-26,ANDRE BOULLOCHE,46,44
2025-09-26,ANDRE MALRAUX,235,229
2025-09-26,ANTOINE BALARD,83,79
2025-09-26,AQUITAINE,81,77
2025-09-26,ARISTOTE,66,66
2025-09-26,AUBIGNE,126,119
2025-09-26,AUBRAC,48,43
2025-09-26,AUGUSTE COMTE,49,46
2025-09-26,AVERROES,54,51
2025-09-26,BENOITE GROULT,234,226
2025-09-26,BERGMAN,50,47
2025-09-26,BLAISE PASCAL,88,88
2025-09-26,BON,72,68
2025-09-26,BOUCHER,92,93
2025-09-26,BRES,71,69
2025-09-26,CALANDRETA DAU CHIVALET,85,84
2025-09-26,CALANDRETA DAU CLAPAS,155,147
2025-09-26,CALLAS,103,101
2025-09-26,CAMOENS,53,45
2025-09-26,CANDOLA,69,70
2025-09-26,CERVANTES,57,57
2025-09-26,CHAPLIN,131,119
2025-09-26,CHAPTAL,91,84
2025-09-26,CHARLES BAUDELAIRE,185,184
2025-09-26,CHARLES DICKENS ANNE FRANK,301,259
2025-09-26,CHENGDU,145,139
2025-09-26,COCTEAU,83,80
2025-09-26,CONDORCET,158,159
2025-09-26,COPERNIC,35,33
2025-09-26,DAUDET,117,116
2025-09-26,DAVILER KERGOMARD,262,218
2025-09-26,DEROIN,115,112
2025-09-26,DIDEROT,155,149
2025-09-26,DOCTEUR CALMETTE,169,175
2025-09-26,DURUY,47,42
2025-09-26,ELUARD,73,0
2025-09-26,EMILE COMBES,61,63
2025-09-26,EUGENE POTTIER JEAN SIBELIUS,265,258
2025-09-26,F D ROOSEVELT,107,79
2025-09-26,FIGUIER,89,88
2025-09-26,FLORIAN,78,77
2025-09-26,FRANCOIS MITTERRAND,185,178
2025-09-26,FREDERIC BAZILLE,17,18
2025-09-26,GALILEE,85,86
2025-09-26,GAMA,71,70
2025-09-26,GAMBETTA,82,83
2025-09-26,GANDHI,22,22
2025-09-26,GARIBALDI,132,131
2025-09-26,GARNIER,67,62
2025-09-26,GEORGES SIMENON,168,170
2025-09-26,GERMAINE RICHIER,297,279
2025-09-26,GOETHE,59,56
2025-09-26,HEIDELBERG,115,116
2025-09-26,HYPATIE,51,50
2025-09-26,ISAAC SCHOLL,112,101
2025-09-26,JACQUES BREL,197,189
2025-09-26,JEAN JAURES,189,180
2025-09-26,JEAN MACE,128,134
2025-09-26,JEAN MERMOZ,142,139
2025-09-26,JEAN MOULIN,118,117
2025-09-26,JEAN ZAY,86,99
2025-09-26,JEANNE D ARC,108,108
2025-09-26,JEANNE MOREAU,180,181
2025-09-26,JOAN MIRO,222,212
2025-09-26,JOSEPH DELTEIL,119,119
2025-09-26,JOYCE,37,34
2025-09-26,JULES FERRY,141,139
2025-09-26,JULES SIMON,160,166
2025-09-26,JULES VERNE,104,107
2025-09-26,JULIE DAUBIE,167,159
2025-09-26,KIPLING,74,70
2025-09-26,LAFONTAINE,70,70
2025-09-26,LAMARTINE,82,80
2025-09-26,LEO MALET,194,191
2025-09-26,LEOPOLD SEDAR SENGHOR,108,108
2025-09-26,LOUIS ARMSTRONG,142,139
2025-09-26,LOUISVILLE,84,88
2025-09-26,LUDWIG VAN BEETHOVEN,344,285
2025-09-26,LUTHERKING,45,40
2025-09-26,MADAME DE SEVIGNE,125,125
2025-09-26,MARC BLOCH,130,128
2025-09-26,MARGUERITTE YOURCENAR,173,175
2025-09-26,MARIE CURIE,185,185
2025-09-26,MARIE PAPE CARPENTIER,143,138
2025-09-26,MICHEL DE L HOSPITAL,275,262
2025-09-26,MICHELET,64,52
2025-09-26,MORISOT MOZART,256,256
2025-09-26,NERUDA,36,34
2025-09-26,OLYMPE DE GOUGES,215,205
2025-09-26,PAGNOL,99,91
2025-09-26,PASTEUR,42,41
2025-09-26,PAUL BERT VICTOR HUGO,149,150
2025-09-26,PAUL LANGEVIN,122,124
2025-09-26,PAUL PAINLEVE,121,81
2025-09-26,PERICLES,95,92
2025-09-26,PICASSO,17,5
2025-09-26,PREVERT,27,25
2025-09-26,PROKOFIEV,54,54
2025-09-26,RENAUD,44,47
2025-09-26,RONSARD,114,111
2025-09-26,ROUX,41,43
2025-09-26,SAMUEL PATY,83,82
2025-09-26,SARAH BERNHARDT,54,51
2025-09-26,SIGMUND FREUD,138,132
2025-09-26,SIGNORET,118,110
2025-09-26,SIMON BOLIVAR,106,110
2025-09-26,SOULAGES,106,104
2025-09-26,SPINOZA,188,191
2025-09-26,SUN YAT SEN,186,161
2025-09-26,SURCOUF,93,93
2025-09-26,TERESA,61,60
2025-09-26,VAN GOGH,43,37
2025-09-26,VICTOR SCHOELCHER,243,238
2025-09-26,VOLTAIRE,204,205
2025-09-26,WINSTON CHURCHILL,274,275
2025-09-26,WOOLF,22,21
2025-09-29,AKIRA KUROSAWA,87,87
2025-09-29,ALAIN SAVARY,139,135
2025-09-29,ALBRECHT,67,66
2025-09-29,ANDRE BOULLOCHE,42,47
2025-09-29,ANDRE MALRAUX,238,243
2025-09-29,ANTOINE BALARD,67,66
2025-09-29,AQUITAINE,83,81
2025-09-29,ARISTOTE,65,55
2025-09-29,AUBIGNE,121,116
2025-09-29,AUBRAC,48,40
2025-09-29,AUGUSTE COMTE,48,45
2025-09-29,AVERROES,45,43
2025-09-29,BENOITE GROULT,223,220
2025-09-29,BERGMAN,53,48
2025-09-29,BLAISE PASCAL,90,92
2025-09-29,BON,66,61
2025-09-29,BOUCHER,88,83
2025-09-29,BRES,69,69
2025-09-29,CALANDRETA DAU CHIVALET,81,78
2025-09-29,CALANDRETA DAU CLAPAS,155,130
2025-09-29,CALLAS,97,96
2025-09-29,CAMOENS,48,42
2025-09-29,CANDOLA,80,80
2025-09-29,CERVANTES,47,46
2025-09-29,CHAPLIN,128,126
2025-09-29,CHAPTAL,91,87
2025-09-29,CHARLES BAUDELAIRE,177,171
2025-09-29,CHARLES DICKENS ANNE FRANK,291,276
2025-09-29,CHENGDU,148,140
2025-09-29,COCTEAU,74,72
2025-09-29,CONDORCET,159,160
2025-09-29,COPERNIC,35,35
2025-09-29,DAUDET,116,116
2025-09-29,DAVILER KERGOMARD,265,261
2025-09-29,DEROIN,107,102
2025-09-29,DIDEROT,127,127
2025-09-29,DOCTEUR CALMETTE,162,158
2025-09-29,DURUY,43,38
2025-09-29,ELUARD,70,72
2025-09-29,EMILE COMBES,58,56
2025-09-29,EUGENE POTTIER JEAN SIBELIUS,257,237
2025-09-29,F D ROOSEVELT,82,75
2025-09-29,FIGUIER,90,90
2025-09-29,FLORIAN,79,41
2025-09-29,FRANCOIS MITTERRAND,183,180
2025-09-29,FREDERIC BAZILLE,16,14
2025-09-29,GALILEE,71,71
2025-09-29,GAMA,67,67
2025-09-29,GAMBETTA,82,81
2025-09-29,GANDHI,18,18
2025-09-29,GARIBALDI,128,125
2025-09-29,GARNIER,68,65
2025-09-29,GEORGES SIMENON,160,165
2025-09-29,GERMAINE RICHIER,284,255
2025-09-29,GOETHE,56,56
2025-09-29,HEIDELBERG,106,106
2025-09-29,HYPATIE,42,38
2025-09-29,ISAAC SCHOLL,111,102
2025-09-29,JACQUES BREL,185,180
2025-09-29,JEAN JAURES,175,163
2025-09-29,JEAN MACE,123,125
2025-09-29,JEAN MERMOZ,139,139
2025-09-29,JEAN MOULIN,119,120
2025-09-29,JEAN ZAY,87,88
2025-09-29,JEANNE D ARC,106,105
2025-09-29,JEANNE MOREAU,172,171
2025-09-29,JOAN MIRO,227,225
2025-09-29,JOSEPH DELTEIL,112,112
2025-09-29,JOYCE,35,32
2025-09-29,JULES FERRY,139,143
2025-09-29,JULES SIMON,160,161
2025-09-29,JULES VERNE,101,99
2025-09-29,JULIE DAUBIE,151,152
2025-09-29,KIPLING,70,65
2025-09-29,LAFONTAINE,72,70
2025-09-29,LAMARTINE,81,77
2025-09-29,LEO MALET,208,205
2025-09-29,LEOPOLD SEDAR SENGHOR,88,89
2025-09-29,LOUIS ARMSTRONG,119,125
2025-09-29,LOUISVILLE,71,74
2025-09-29,LUDWIG VAN BEETHOVEN,336,339
2025-09-29,LUTHERKING,42,38
2025-09-29,MADAME DE SEVIGNE,124,124
2025-09-29,MARC BLOCH,111,110
2025-09-29,MARGUERITTE YOURCENAR,168,159
2025-09-29,MARIE CURIE,183,182
2025-09-29,MARIE PAPE CARPENTIER,142,136
2025-09-29,MICHEL DE L HOSPITAL,269,261
2025-09-29,MICHELET,56,56
2025-09-29,MORISOT MOZART,264,222
2025-09-29,NERUDA,29,28
2025-09-29,OLYMPE DE GOUGES,216,217
2025-09-29,PAGNOL,97,90
2025-09-29,PASTEUR,42,41
2025-09-29,PAUL BERT VICTOR HUGO,141,143
2025-09-29,PAUL LANGEVIN,123,127
2025-09-29,PAUL PAINLEVE,129,85
2025-09-29,PERICLES,89,85
2025-09-29,PICASSO,14,16
2025-09-29,PREVERT,23,21
2025-09-29,PROKOFIEV,48,48
2025-09-29,RENAUD,43,46
2025-09-29,RONSARD,112,110
2025-09-29,ROUX,42,43
2025-09-29,SAMUEL PATY,77,76
2025-09-29,SARAH BERNHARDT,57,52
2025-09-29,SIGMUND FREUD,130,134
2025-09-29,SIGNORET,113,108
2025-09-29,SIMON BOLIVAR,75,80
2025-09-29,SOULAGES,108,108
2025-09-29,SPINOZA,171,175
2025-09-29,SUN YAT SEN,172,149
2025-09-29,SURCOUF,95,99
2025-09-29,TERESA,60,59
2025-09-29,VAN GOGH,36,33
2025-09-29,VICTOR SCHOELCHER,237,234
2025-09-29,VOLTAIRE,195,193
2025-09-29,WINSTON CHURCHILL,263,268
2025-09-29,WOOLF,23,22
2025-09-30,AKIRA KUROSAWA,100,104
2025-09-30,ALAIN SAVARY,149,151
2025-09-30,ALBRECHT,72,73
2025-09-30,ANDRE BOULLOCHE,57,62
2025-09-30,ANDRE MALRAUX,238,206
2025-09-30,ANTOINE BALARD,86,87
2025-09-30,AQUITAINE,87,80
2025-09-30,ARISTOTE,66,63
2025-09-30,AUBIGNE,122,122
2025-09-30,AUBRAC,49,41
2025-09-30,AUGUSTE COMTE,49,48
2025-09-30,AVERROES,52,53
2025-09-30,BENOITE GROULT,236,227
2025-09-30,BERGMAN,54,50
2025-09-30,BLAISE PASCAL,94,94
2025-09-30,BON,80,71
2025-09-30,BOUCHER,100,94
2025-09-30,BRES,76,78
2025-09-30,CALANDRETA DAU CHIVALET,83,80
2025-09-30,CALANDRETA DAU CLAPAS,156,132
2025-09-30,CALLAS,99,102
2025-09-30,CAMOENS,47,42
2025-09-30,CANDOLA,79,74
2025-09-30,CERVANTES,52,50
2025-09-30,CHAPLIN,133,132
2025-09-30,CHAPTAL,93,90
2025-09-30,CHARLES BAUDELAIRE,188,179
2025-09-30,CHARLES DICKENS ANNE FRANK,307,287
2025-09-30,CHENGDU,152,144
2025-09-30,COCTEAU,83,83
2025-09-30,CONDORCET,163,162
2025-09-30,COPERNIC,37,37
2025-09-30,DAUDET,115,117
2025-09-30,DAVILER KERGOMARD,256,219
2025-09-30,DEROIN,110,106
2025-09-30,DIDEROT,155,132
2025-09-30,DOCTEUR CALMETTE,166,168
2025-09-30,DURUY,43,39
2025-09-30,ELUARD,71,70
2025-09-30,EMILE COMBES,58,63
2025-09-30,EUGENE POTTIER JEAN SIBELIUS,268,256
2025-09-30,F D ROOSEVELT,107,101
2025-09-30,FIGUIER,91,89
2025-09-30,FLORIAN,81,81
2025-09-30,FRANCOIS MITTERRAND,184,182
2025-09-30,FREDERIC BAZILLE,16,18
2025-09-30,GALILEE,88,76
2025-09-30,GAMA,71,69
2025-09-30,GAMBETTA,81,83
2025-09-30,GANDHI,22,20
2025-09-30,GARIBALDI,131,133
2025-09-30,GARNIER,70,65
2025-09-30,GEORGES SIMENON,172,169
2025-09-30,GERMAINE RICHIER,293,285
2025-09-30,GOETHE,59,59
2025-09-30,HEIDELBERG,113,112
2025-09-30,HYPATIE,52,52
2025-09-30,ISAAC SCHOLL,111,108
2025-09-30,JACQUES BREL,201,188
2025-09-30,JEAN JAURES,194,182
2025-09-30,JEAN MACE,129,132
2025-09-30,JEAN MERMOZ,137,136
2025-09-30,JEAN MOULIN,119,120
2025-09-30,JEAN ZAY,88,92
2025-09-30,JEANNE D ARC,110,109
2025-09-30,JEANNE MOREAU,177,178
2025-09-30,JOAN MIRO,228,224
2025-09-30,JOSEPH DELTEIL,135,118
2025-09-30,JOYCE,42,39
2025-09-30,JULES FERRY,151,151
2025-09-30,JULES SIMON,157,159
2025-09-30,JULES VERNE,106,101
2025-09-30,JULIE DAUBIE,169,172
2025-09-30,KIPLING,76,72
2025-09-30,LAFONTAINE,74,74
2025-09-30,LAMARTINE,80,78
2025-09-30,LEO MALET,206,205
2025-09-30,LEOPOLD SEDAR SENGHOR,116,117
2025-09-30,LOUIS ARMSTRONG,152,156
2025-09-30,LOUISVILLE,87,94
2025-09-30,LUDWIG VAN BEETHOVEN,350,348
2025-09-30,LUTHERKING,51,27
2025-09-30,MADAME DE SEVIGNE,130,131
2025-09-30,MARC BLOCH,129,123
2025-09-30,MARGUERITTE YOURCENAR,181,175
2025-09-30,MARIE CURIE,189,192
2025-09-30,MARIE PAPE CARPENTIER,155,150
2025-09-30,MICHEL DE L HOSPITAL,268,258
2025-09-30,MICHELET,62,59
2025-09-30,MORISOT MOZART,262,264
2025-09-30,NERUDA,36,33
2025-09-30,OLYMPE DE GOUGES,222,207
2025-09-30,PAGNOL,102,89
2025-09-30,PASTEUR,43,41
2025-09-30,PAUL BERT VICTOR HUGO,147,130
2025-09-30,PAUL LANGEVIN,124,125
2025-09-30,PAUL PAINLEVE,122,84
2025-09-30,PERICLES,94,92
2025-09-30,PICASSO,21,24
2025-09-30,PREVERT,26,25
2025-09-30,PROKOFIEV,52,55
2025-09-30,RENAUD,47,50
2025-09-30,RONSARD,122,120
2025-09-30,ROUX,41,41
2025-09-30,SAMUEL PATY,82,79
2025-09-30,SARAH BERNHARDT,57,53
2025-09-30,SIGMUND FREUD,133,138
2025-09-30,SIGNORET,117,116
2025-09-30,SIMON BOLIVAR,103,106
2025-09-30,SOULAGES,107,104
2025-09-30,SPINOZA,198,196
2025-09-30,SUN YAT SEN,195,203
2025-09-30,SURCOUF,94,94
2025-09-30,TERESA,61,56
2025-09-30,VAN GOGH,40,37
2025-09-30,VICTOR SCHOELCHER,262,256
2025-09-30,VOLTAIRE,209,207
2025-09-30,WINSTON CHURCHILL,276,272
2025-09-30,WOOLF,28,25
2025-10-02,AKIRA KUROSAWA,82,83
2025-10-02,ALAIN SAVARY,140,128
2025-10-02,ALBRECHT,66,65
2025-10-02,ANDRE BOULLOCHE,46,31
2025-10-02,ANDRE MALRAUX,234,168
2025-10-02,ANTOINE BALARD,64,34
2025-10-02,AQUITAINE,16,0
2025-10-02,ARISTOTE,66,66
2025-10-02,AUBIGNE,123,123
2025-10-02,AUBRAC,45,35
2025-10-02,AUGUSTE COMTE,48,46
2025-10-02,AVERROES,43,0
2025-10-02,BENOITE GROULT,235,222
2025-10-02,BERGMAN,54,52
2025-10-02,BLAISE PASCAL,91,91
2025-10-02,BON,73,50
2025-10-02,BOUCHER,86,39
2025-10-02,BRES,67,38
2025-10-02,CALANDRETA DAU CHIVALET,83,82
2025-10-02,CALANDRETA DAU CLAPAS,159,75
2025-10-02,CALLAS,38,0
2025-10-02,CAMOENS,1,0
2025-10-02,CANDOLA,79,0
2025-10-02,CERVANTES,47,43
2025-10-02,CHAPLIN,130,106
2025-10-02,CHAPTAL,91,87
2025-10-02,CHARLES BAUDELAIRE,176,155
2025-10-02,CHARLES DICKENS ANNE FRANK,295,102
2025-10-02,CHENGDU,45,34
2025-10-02,COCTEAU,78,23
2025-10-02,CONDORCET,163,136
2025-10-02,COPERNIC,34,31
2025-10-02,DAUDET,119,46
2025-10-02,DAVILER KERGOMARD,260,240
2025-10-02,DEROIN,111,99
2025-10-02,DIDEROT,134,93
2025-10-02,DOCTEUR CALMETTE,154,144
2025-10-02,DURUY,42,37
2025-10-02,ELUARD,68,69
2025-10-02,EMILE COMBES,61,53
2025-10-02,EUGENE POTTIER JEAN SIBELIUS,262,263
2025-10-02,F D ROOSEVELT,83,72
2025-10-02,FIGUIER,90,75
2025-10-02,FLORIAN,84,87
2025-10-02,FRANCOIS MITTERRAND,178,100
2025-10-02,FREDERIC BAZILLE,16,7
2025-10-02,GALILEE,67,30
2025-10-02,GAMA,70,34
2025-10-02,GAMBETTA,85,82
2025-10-02,GANDHI,17,16
2025-10-02,GARIBALDI,132,132
2025-10-02,GARNIER,69,61
2025-10-02,GEORGES SIMENON,152,159
2025-10-02,GERMAINE RICHIER,278,81
2025-10-02,GOETHE,1,0
2025-10-02,HEIDELBERG,94,86
2025-10-02,HYPATIE,48,30
2025-10-02,ISAAC SCHOLL,109,1
2025-10-02,JACQUES BREL,187,180
2025-10-02,JEAN JAURES,180,2
2025-10-02,JEAN MACE,123,129
2025-10-02,JEAN MERMOZ,142,139
2025-10-02,JEAN MOULIN,113,112
2025-10-02,JEAN ZAY,84,91
2025-10-02,JEANNE D ARC,110,40
2025-10-02,JEANNE MOREAU,173,93
2025-10-02,JOAN MIRO,225,191
2025-10-02,JOSEPH DELTEIL,109,109
2025-10-02,JOYCE,1,1
2025-10-02,JULES FERRY,143,147
2025-10-02,JULES SIMON,163,166
2025-10-02,JULES VERNE,41,0
2025-10-02,JULIE DAUBIE,151,103
2025-10-02,KIPLING,72,38
2025-10-02,LAFONTAINE,22,1
2025-10-02,LAMARTINE,76,73
2025-10-02,LEO MALET,204,173
2025-10-02,LEOPOLD SEDAR SENGHOR,91,88
2025-10-02,LOUIS ARMSTRONG,124,69
2025-10-02,LOUISVILLE,70,41
2025-10-02,LUDWIG VAN BEETHOVEN,331,316
2025-10-02,LUTHERKING,42,38
2025-10-02,MADAME DE SEVIGNE,125,118
2025-10-02,MARC BLOCH,104,88
2025-10-02,MARGUERITTE YOURCENAR,166,164
2025-10-02,MARIE CURIE,161,142
2025-10-02,MARIE PAPE CARPENTIER,18,1
2025-10-02,MICHEL DE L HOSPITAL,269,257
2025-10-02,MICHELET,59,27
2025-10-02,MORISOT MOZART,264,264
2025-10-02,NERUDA,29,29
2025-10-02,OLYMPE DE GOUGES,214,112
2025-10-02,PAGNOL,6,2
2025-10-02,PASTEUR,0,0
2025-10-02,PAUL BERT VICTOR HUGO,147,131
2025-10-02,PAUL LANGEVIN,128,122
2025-10-02,PAUL PAINLEVE,122,71
2025-10-02,PERICLES,55,36
2025-10-02,PICASSO,17,19
2025-10-02,PREVERT,21,20
2025-10-02,PROKOFIEV,50,45
2025-10-02,RENAUD,41,40
2025-10-02,RONSARD,106,101
2025-10-02,ROUX,42,38
2025-10-02,SAMUEL PATY,76,66
2025-10-02,SARAH BERNHARDT,55,51
2025-10-02,SIGMUND FREUD,127,79
2025-10-02,SIGNORET,113,56
2025-10-02,SIMON BOLIVAR,85,82
